Titulo,Autor,Ano
Flat Foot Floogie (with a Floy Floy),Slim Gaillard / Slam Stewart / Bud Green,1938
Fly Me To The Moon,Bart Howard,1954
My Foolish Heart,,
Fools Rush In,Johnny Mercer / Rube Bloom,1940
Footprints,Wayne Shorter,1966
For All We Know,J. Fred Coots / Sam M. Lewis,1934
For Heaven’s Sake,Elise Bretton / Sherman Edwards / Donald Meyer,1948
Forest Flower,Charles Lloyd,1967
Four Brothers,Jimmy Giuffre,1947
Four,Miles Davis,1954
Freddie Freeloader,Miles Davis,1959
Freight Trane,Tommy Flanagan,1958
Frim-Fram Sauce,Redd Evans / Joe Ricardel,1945
Гадалка,,
"Gee Baby, Ain`t I Good To You",Don Redman / Andy Razaf,1929
Georgia On My Mind (traditional),Hoagy Carmichael / Stuart Gorrell,1930
Georgia On My Mind,Hoagy Carmichael / Stuart Gorrell,1930
Get Out of Town,Cole Porter,1938
Getting Some Fun Out Of Life,E. Leslie / J. Burke,1937
Giant Steps,John Coltrane,1960
Give Me The Simple Life,Rube Bloom / Harry Ruby,1945
Go Down Moses,,
God Bless the Child,Billie Holiday / Arthur Herzog Jr.,1939
Golden Earrings,Victor Young / Jay Livingston / Ray Evans,1947
Gone with the Wind,Allie Wrubel / Herb Magidson,1937
Good Bait,Tadd Dameron / Count Basie,1944
Good Morning Heartache,Irene Higginbotham / Ervin Drake / Dan Fisher,1946
Goodbye,Gordon Jenkins,1935
Goody Goody,Matty Malneck / Johnny Mercer,1936
Goofus,Wayne King / William Harold / Gus Kahn,1930
Gotta Get Some Sleep,Dewey Redman / Keith Jarrett,1978
Groove Juice Special,Slim Gaillard,1940
Groovin’ High,Dizzy Gillespie,1945
Hackensack,Thelonious Monk,1963
Half Nelson,Miles Davis,1948
Hallelujah,,
Harlem Nocturne,Earle Hagen / Dick Rogers,1939
Have You Met Miss Jones?,Richard Rodgers / Lorenz Hart,1937
Have Yourself a Merry Little Christmas,Hugh Martin / Ralph Blane,1944
"Hello, Dolly",Jerry Herman,1963
Here`s That Rainy Day,Jimmy Van Heusen / Johnny Burke,1953
Hey Jude,John Lennon / Paul McCartney,1968
Hindustan,,
Historia de un Amor,Carlos Eleta Almarán,1955
Hit That Jive Jack,,
Hit the Road Jack,Percy Mayfield,1961
Honeysuckle Rose,Fats Waller / Andy Razaf,1929
Hot House,Tadd Dameron,1945
How About You ?,Burton Lane / Ralph Freed,1941
How Deep Is the Ocean?,Irving Berlin,1932
How Do You Say Auf Wiedersehen?,Tony Scibetta / Johnny Mercer,1967
How High The Moon,,
How Insensitive,Antônio Carlos Jobim / Norman Gimbel,1963
How Little We Know,Hoagy Carmichael / Johnny Mercer,1944
How Long Has This Been Going On?,George Gershwin / Ira Gershwin,1928
I Ain’t Got Nobody,Spencer Williams / Roger A. Graham,1915
I Almost Lost My Mind,Ivory Joe Hunter,1949
I Can’t Believe That You’re In Love With Me,Jimmy McHugh / Clarence Gaskill,1926
I Can`t Get Started,Vernon Duke / Ira Gershwin,1936
I Can`t Give You Anything But Love,Jimmy McHugh / Dorothy Fields,1928
I Concentrate on You,Cole Porter,1940
I Could Write a Book,Lorenz Hart / Richard Rodgers,1940
I Cover the Waterfront,Johnny Green / Edward Heyman,1933
I Didn’t Know About You,Duke Ellington / Bob Russell,1944
I Didn’t Know What Time It Was,Richard Rodgers / Lorenz Hart,1939
I Don’t Want to Set the World on Fire,Bennie Benhamin / Eddie Durham / Sol Marcus / Eddie Seiler,1938
I Fall in Love Too Easily,Sammy Cahn / Jule Styne,1944
I Get a Kick Out of You,Cole Porter,1934
I Get Along Without You Very Well,Hoagy Carmichael / Jane Brown Thompson,1939
I Got it Bad and That Ain’t Good,Duke Ellington / Paul Francis Webster,1941
I Got Rhythm,George Gershwin / Ira Gershwin,1930
I Guess I’ll Hang My Tears Out to Dry,Sammy Cahn / Jule Styne,1944
I Know That You Know,Vincent Youmans / Anne Caldwell,1926
I Know Why (And So Do You),Harry Warren / Glenn Miller,1941
I left my heart in San Francisko,George Cory / Douglass Cross,1953
I Let a Song Go Out of My Heart,Duke Ellington / Irving Mills / Henry Nemo / John Redmond,1938
I Love Paris,Cole Porter,1953
I Love You,Cole Porter,1944
"I Loves You, Porgy",George Gershwin / Ira Gershwin / DuBose Heyward,1935
I Mean You,Thelonius Monk / Coleman Hawkins,1946
I Only Have Eyes for You,Harry Warren / Al Dubin,1934
I Remember Clifford,Benny Golson,1957
I Thought About You,Jimmy Van Heusen / Johnny Mercer,1939
I Wanna Be Loved By You,Herbert Stothart / Harry Ruby / Bert Kalmar,1928
I Want A Roof Over My Head,,
I Was Doing All Right,George Gershwin / Ira Gershwin,1937
I Wish I Knew,Harry Warren / Mack Gordon,1945
I Wish You Love (Que reste-t-il de nos amours?),Léo Chauliac /Charles Trenet / Albert Askew Beach,1942
I Wished on the Moon,Ralph Rainger / Dorothy Parker,1935
I Won’t Dance,,
Ice Cream,Howard Johnson / Billy Moll / Robert A. King,1927
If I Had You,Jimmy Campbell / Reg Connelly / Ted Shapiro,1928
If I Love Again,Ben Oakland / J. P. Murray,1933
If I Should Lose You,Ralph Rainger / Leo Robin,1936
If I Were a Bell,Frank Loesser,1950
If You Nebver Come to Me ( Inútil Paisagem ),Antonio Carlos Jobim / Ray Gilbert,1964
I’ll Be A Friend With Pleasure,Maceo Pinkard,1930
I’ll Be Seeing You,Sammy Fain / Irving Kahal,1938
I’ll Close My Eyes,Billy Reid / Buddy Kaye,1945
I’ll Keep On Loving You,F. Tillman,1938
I’m a Fool to Want You,Frank Sinatra / Jack Wolf / Joel Herron,1951
I’m Always Chasing Rainbows,Harry Carroll / Joseph McCarthy,1917
I’m An Errand Boy For Rhythm,Nat King Cole,1954
I’m An Old Cowhand,Johnny Mercer,1936
I’m Beginning To See The Light,Duke Ellington / Johnny Hodges / Harry James / Don George,1944
